metric,direction,guidance,other 99999999 n=1
duration_total_s,neutral,recording length; context only,64.0385
duration_speech_s,neutral,detected speech length; context only,61.498
articulation_time_s,neutral,speaking time excluding pauses; context only,51.9198
phonation_time_s,neutral,voiced time; context only,30.9439
intensity_active_mean_db,neutral,UNCALIBRATED active level; within-setup only,49.0807
intensity_active_std_db,around,lower = steadier loudness; some variation is normal,7.37558
intensity_nucleus_std_db,lower,lower = better intensity CONTROL on stressed vowels,4.40846
intensity_range_db,around,moderate range is normal; extreme values atypical,49.6294
intensity_decay_db,around,near 0 = steady loudness; strongly negative = hypokinetic loudness DECAY across passage,-0.0811617
pitch_mean_hz,neutral,speaker characteristic (sex/age); not better/worse,190.654
pitch_median_hz,neutral,speaker characteristic; not better/worse,185.955
pitch_std_hz,around,some F0 variation = natural prosody; near-zero = monotone,23.6655
pitch_min_hz,neutral,context only,123.556
pitch_max_hz,neutral,context only,266.696
pitch_range_hz,around,moderate range healthy; very small = monotone,143.14
pitch_range_semitones,around,moderate semitone range = expressive,13.3204
pitch_cv,around,natural read-speech F0 CV is moderate; very low = monotone,0.124128
voiced_percent,higher,more voicing = more continuous phonation (within reason),50.3168
unvoiced_percent,lower,less unvoiced = more continuous phonation,49.6832
cpps_db,higher,"higher CPPS = clearer, less dysphonic voice (robust severity correlate)",11.2686
cpps_iqr_db,lower,window-to-window IQR of CPPS; lower = more repeatable estimate,
cpp_db,higher,"higher CPP = clearer, less breathy voice",8.0928
hnr_db,higher,"higher = clearer, less noisy voice",14.36
hnr_iqr_db,lower,window-to-window IQR of HNR; lower = more repeatable estimate,
hnr_median_perinterval_db,higher,higher = clearer voice (robust median complement to HNR),9.56903
nhr,lower,lower noise-to-harmonics = clearer voice,0.0366438
mean_autocorrelation,higher,higher = more periodic/clean phonation,0.917273
voice_breaks_count,lower,fewer genuine phonation breaks = steadier voice,47
voice_breaks_degree_percent,lower,less time in breaks = steadier voice,9.6738
jitter_local_percent,lower,lower = more stable pitch periods,1.65757
jitter_ppq5_percent,lower,lower = more stable pitch periods,0.889515
jitter_iqr,lower,"window-to-window IQR of jitter; if it approaches the jitter value, the median is not usable",
shimmer_local_db,lower,lower = more stable amplitude,0.728595
shimmer_apq11_percent,lower,lower = more stable amplitude,6.46202
shimmer_iqr,lower,"window-to-window IQR of shimmer; if it approaches the shimmer value, the median is not usable",
num_pulses,neutral,depends on voiced duration; sanity-check only,6073
spectral_centroid_hz,neutral,timbre/brightness; speaker & content dependent,2833.77
spectral_spread_hz,neutral,spectral width; context only,3338.56
spectral_skewness,neutral,spectral shape; context only,2.67262
spectral_kurtosis,neutral,spectral shape; context only,10.2845
spectral_tilt_db_per_khz,neutral,vocal effort/phonation type; within-subject,-6.10352
alpha_ratio_db,neutral,vocal effort/brightness; within-subject,-19.5921
hammarberg_index,neutral,vocal effort; within-subject,18.8923
f1_mean_hz,neutral,vowel/speaker dependent; not better/worse,574.504
f1_std_hz,lower,lower = more stable articulation,213.007
f2_mean_hz,neutral,vowel/speaker dependent; not better/worse,1669.2
f2_std_hz,lower,lower = more stable articulation,442.609
f3_mean_hz,neutral,speaker dependent; not better/worse,2723.47
f3_std_hz,lower,lower = more stable articulation,365.683
voiced_fraction,higher,"fraction of frames the tracker calls voiced; always computable, so it still separates files when jitter/shimmer cannot be measured",0.503168
f0_subharmonic_lock,lower,1 = a free tracker falls to F0/2 on this file: period doubling / diplophonia present,0
f0_lock_semitones,lower,"in-range F0 minus unconstrained F0, in semitones; ~12 = full octave lock, ~0 = clean periodicity",-0.00982665
pause_count,lower,fewer pauses = more fluent,24
pauses_per_minute,lower,fewer pauses/min = more fluent,23.4154
pause_total_duration_s,lower,less total pause time = more fluent,9.57823
pause_mean_duration_s,lower,shorter pauses = more fluent,0.399093
pause_ratio_to_speech,lower,less pause relative to speech = more fluent,0.184481
rec_quality_score,higher,"higher = better recording (about the signal, not the voice)",99.9986
rec_snr_db,higher,higher SNR = cleaner recording,35.5306
rec_clipping_fraction,lower,lower = less clipping = cleaner recording,7.08191e-07
speech_rate_syll_per_s,around,typical read speech mid range; much slower may indicate impairment,4.22778
articulation_rate_syll_per_s,around,typical mid range; very slow may indicate impairment,5.00772
syllable_count_used,neutral,syllables used for rate (exact if known passage),260
speaking_time_fraction,higher,1.0 = no pauses; lower = more total time lost to PAUSING,0.844251
filler_count,lower,fewer fillers = more fluent,0
fillers_per_minute,lower,fewer fillers/min = more fluent,0
filler_total_duration_s,lower,less filler time = more fluent,0
filler_ratio_to_speech,lower,less filler relative to speech = more fluent,0
ems_3_8hz_ratio,higher,stronger syllabic (3-8 Hz) envelope modulation = better rhythm/intelligibility; reduced in dysarthria,0.34354
ems_peak_freq_hz,around,syllabic peak typically ~4-5 Hz; far from this is atypical,1.98374
ems_syllabic_to_slow_ratio,higher,more syllabic vs slow modulation energy = crisper rhythm,0.629912
npvi,around,onset-interval PVI proxy; mid range for English read speech (within-subject),53.5321
vowel_space_area,higher,larger vowel space = clearer articulation (reduced in dysarthria),549929
vowel_dispersion_logarea,higher,larger F1-F2 cloud = more articulatory expansion; SHRINKS with hypokinetic centralization,12.597
vowel_cloud_spread_hz,higher,larger spread = more vowel differentiation; reduced in centralization,306.788
fluency_intensity_stability,higher,higher = steadier loudness control (indicative),
fluency_pitch_stability,higher,higher = healthier prosody (indicative),
fluency_rhythm_regularity,higher,higher = more typical rhythm (indicative),
fluency_voice_quality,higher,higher = cleaner voice (indicative),
fluency_articulation,higher,higher = more typical rate (indicative),
fluency_overall,higher,"higher = more fluent overall (INDICATIVE only, not validated)",
sv_mpt_longest_s,higher,maximum phonation time: longer = better respiratory/phonatory support,
sv_mpt_longest_uninterrupted_s,higher,"longest stretch of CONTINUOUS PHONATION inside a single token, with no break (>=50 ms below the phonation threshold or unvoiced) in the middle. Cannot exceed sv_mpt_longest_s; the gap between the two is how much of the best token was actually held. Read it with sv_n_breaks_in_best_token and sv_unbroken_energy_only_s in the audit block.",
sv_mpt_mean_s,higher,mean token duration; longer = better sustained support,
sv_total_phonation_s,neutral,total phonated time in the file; context only,
sv_n_tokens,neutral,number of separate /a/ productions found in the file,
sv_f0_sd_semitones,lower,lower = steadier pitch on sustained phonation (typ. < 0.5 st),
sv_f0_drift_st_per_s,around,near 0 = no drift; large magnitude = failing pitch control across the token,
sv_intensity_sd_db,lower,lower = steadier loudness within the window,
sv_tremor_rate_hz,neutral,dominant 2-12 Hz F0 modulation rate; ~4-7 Hz typical of vocal tremor,
sv_tremor_extent_st,lower,lower = less frequency tremor; large extent is a tremor sign,
sv_cpps_token_db,higher,"CPPS over the whole token - computable even when the voice is too aperiodic for jitter/shimmer, so use it when they are blank",
sv_hnr_token_db,higher,per-interval median HNR over the whole token; same role as above,
