metric,direction,guidance,speaker01_caterpillar
task,neutral,analysis task used for this file,reading
task_source,neutral,how the task was decided,forced
octave_verdict,neutral,harmonic-comb octave check: ok | ambiguous | tracker_halved | tracker_doubled | inconclusive,ok
octave_note,neutral,why the octave check decided that,comb consistent with 186 Hz (odd/even +1.4 dB)
snr_reference,neutral,where the noise floor came from (none | leading_trailing | internal_below_threshold),leading_trailing
sv_boundaries_source,neutral,token boundaries: inferred | file,inferred
sv_window_rejections,neutral,why analysis windows were discarded,
sv_coverage_note,neutral,v18: how much of the phonation was analysed and where the rest went,
sv_usable_reasons,neutral,blank = usable; otherwise why this file should not enter group statistics,
sv_token_spans_s,neutral,token boundaries actually used (s),
rec_warnings,neutral,recording-quality warnings,
### METRICS (103) - measurements of the voice,,,
duration_total_s,neutral,recording length; context only,64.0385
duration_speech_s,neutral,detected speech length; context only,61.498
articulation_time_s,neutral,speaking time excluding pauses; context only,51.9198
phonation_time_s,neutral,voiced time; context only,30.9439
intensity_active_mean_db,neutral,UNCALIBRATED active level; within-setup only,49.0807
intensity_active_std_db,around,lower = steadier loudness; some variation is normal,7.37558
intensity_nucleus_std_db,lower,lower = better intensity CONTROL on stressed vowels,4.40846
intensity_range_db,around,moderate range is normal; extreme values atypical,49.6294
intensity_decay_db,around,near 0 = steady loudness; strongly negative = hypokinetic loudness DECAY across passage,-0.0811617
pitch_mean_hz,neutral,speaker characteristic (sex/age); not better/worse,190.654
pitch_median_hz,neutral,speaker characteristic; not better/worse,185.955
pitch_std_hz,around,some F0 variation = natural prosody; near-zero = monotone,23.6655
pitch_min_hz,neutral,context only,123.556
pitch_max_hz,neutral,context only,266.696
pitch_range_hz,around,moderate range healthy; very small = monotone,143.14
pitch_range_semitones,around,moderate semitone range = expressive,13.3204
pitch_cv,around,natural read-speech F0 CV is moderate; very low = monotone,0.124128
voiced_percent,higher,more voicing = more continuous phonation (within reason),50.3168
unvoiced_percent,lower,less unvoiced = more continuous phonation,49.6832
cpps_db,higher,"higher CPPS = clearer, less dysphonic voice (robust severity correlate)",11.2686
cpps_iqr_db,lower,window-to-window IQR of CPPS; lower = more repeatable estimate,
cpp_db,higher,"higher CPP = clearer, less breathy voice",8.0928
hnr_db,higher,"higher = clearer, less noisy voice",14.36
hnr_iqr_db,lower,window-to-window IQR of HNR; lower = more repeatable estimate,
hnr_median_perinterval_db,higher,higher = clearer voice (robust median complement to HNR),9.56903
nhr,lower,lower noise-to-harmonics = clearer voice,0.0366438
mean_autocorrelation,higher,higher = more periodic/clean phonation,0.917273
voice_breaks_count,lower,fewer genuine phonation breaks = steadier voice,47
voice_breaks_degree_percent,lower,less time in breaks = steadier voice,9.6738
jitter_local_percent,lower,lower = more stable pitch periods,1.65757
jitter_ppq5_percent,lower,lower = more stable pitch periods,0.889515
